Clave de incidencia,Resumen,Tipo,Estado,Cobertura Fleetbase (%),Estado Cobertura,Análisis de Cobertura,Requerimientos Adicionales
LIPU-144,Front - Pantalla Clientes Accion Detalles Vista Operadores,Subtarea,Tareas por hacer,60%,Parcial,"Fleetbase tiene tablas de drivers (conductores/operadores) con información básica. Falta: asociación específica con clientes, tracking de licencias vencidas, integración RH",Crear relación clientes-operadores; Sistema alertas licencias; Integración RH Corporativo
LIPU-143,Front - Pantalla Clientes Accion Detalles Vista Unidades,Subtarea,Tareas por hacer,80%,Alta,"Fleetbase tiene gestión completa de vehicles con placas, VIN, marca/modelo. Existe relación con companies (clientes). Solo falta: personalización vista específica",Adaptar UI para mostrar unidades por cliente
LIPU-142,Front - Pantalla Clientes Accion Detalles Vista Plantas,Subtarea,Tareas por hacer,70%,Alta,"Fleetbase tiene tabla 'places' para ubicaciones. Falta: concepto específico de 'planta' como tipo de place, relación con clientes",Extender modelo places con tipo 'plant'; Relacionar con customers
LIPU-141,Front - Pantalla Clientes Accion Detalles Vista Datos Generales,Subtarea,Tareas por hacer,85%,Alta,"Fleetbase tiene modelo completo de contacts/vendors que puede usarse para clientes. Incluye: nombre, email, phone, address. Falta: campos específicos como RFC, razón social",Agregar campos custom para México (RFC, razón social, tipo cliente)
LIPU-140,Front - Pantalla Clientes Paginacion en Tabla,Subtarea,Tareas por hacer,100%,Completa,Fleetbase incluye paginación estándar en todas las tablas del sistema. Implementado en API y frontend,Ninguno - Ya implementado
LIPU-139,Front - Pantalla Clientes Tabla Export Button,Subtarea,Tareas por hacer,100%,Completa,Fleetbase tiene funcionalidad de exportación integrada en múltiples formatos (CSV/Excel),Ninguno - Ya implementado
LIPU-138,Front - Pantalla Clientes Search y Filtros en Tabla,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase incluye sistema robusto de búsqueda y filtros en todas las tablas, con saved_filters para guardar búsquedas",Ninguno - Ya implementado
LIPU-137,Front - Pantalla Clientes Tabla,Subtarea,Tareas por hacer,95%,Completa,"Fleetbase tiene componentes de tabla completos con ordenamiento, selección múltiple, acciones en masa",Personalizar columnas específicas para clientes LiPU
LIPU-136,Front - Pantalla Clientes KPIs Cards,Subtarea,Tareas por hacer,80%,Alta,"Fleetbase tiene sistema de dashboards y widgets personalizables. Falta: KPIs específicos de clientes (total, activos, etc.)",Crear widgets custom para KPIs de clientes
LIPU-135,Pruebas de Integración y Validación,Subtarea,Tareas por hacer,90%,Alta,"Fleetbase tiene suite de tests, webhooks para integraciones. Falta: tests específicos para Salesforce",Crear tests de integración Salesforce
LIPU-134,Implementación de Cliente de Salesforce,Subtarea,En curso,40%,Parcial,"Fleetbase tiene sistema de integraciones extensible. Falta: cliente específico Salesforce, mapeo de campos",Desarrollar extensión Salesforce; Implementar sincronización bidireccional
LIPU-133,Backend - Obtener los permisos de cada vista,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene sistema IAM completo con roles, policies, permissions por recurso y acción (CRUD)",Ninguno - Ya implementado
LIPU-132,Frontend - Vista general,Subtarea,En curso,95%,Completa,"Fleetbase tiene arquitectura frontend completa en Ember.js con componentes reutilizables, routing, estados",Adaptar componentes a diseño LiPU
LIPU-131,Frontend - Contenedor de permisos por vista,Subtarea,Tareas por hacer,100%,Completa,Fleetbase tiene UI para gestionar permisos por rol y recurso con matriz de permisos,Ninguno - Ya implementado
LIPU-130,Backend - Registro de bitacoras,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene tabla 'activity' para auditoría completa de todas las acciones (log_name, description, properties, causer, subject)",Ninguno - Ya implementado
LIPU-129,Backend - Asignacion de los permisos por Rol/Vista,Subtarea,Tareas por hacer,100%,Completa,Fleetbase implementa RBAC completo con role_has_permissions y políticas granulares,Ninguno - Ya implementado
LIPU-128,Back - Endpoints CRUD Contratos,Subtarea,Tareas por hacer,60%,Parcial,"Fleetbase no tiene tabla específica 'contratos'. Tiene service_quotes, invoices. Falta: modelo contrato con vigencias, anexos",Crear modelo Contract; Relacionar con customers y services; Alertas vencimiento
LIPU-127,DB - Creación de Modelo de Datos (Contratos),Subtarea,Tareas por hacer,50%,Parcial,"Fleetbase tiene infraestructura para relaciones complejas. Falta: diseño específico modelo contratos con: vigencia, tipo, monto, plantas asociadas",Diseñar esquema contratos; Migraciones PostgreSQL
LIPU-126,Frontend - Crear Vista agregar,Subtarea,Tareas por hacer,90%,Alta,"Fleetbase tiene formularios modales reutilizables, validaciones, manejo de estados",Adaptar formularios a campos específicos
LIPU-125,Frontend - Crear vista de detalles de usuario,Subtarea,Tareas por hacer,95%,Completa,"Fleetbase tiene vista completa de usuario con: perfil, roles, permisos, actividad, sesiones",Personalizar según requerimientos LiPU
LIPU-124,Frontend - Crear componentes de inputs,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene librería completa de componentes: text, select, date, file upload, autocomplete",Ninguno - Ya implementado
LIPU-123,Back - Sincronización de Catálogos con Salesforce,Subtarea,Tareas por hacer,40%,Parcial,"Fleetbase tiene webhooks y API para integraciones. Falta: sincronización específica Salesforce, manejo de conflictos",Implementar sincronización bidireccional; Resolver conflictos; Logs sincronización
LIPU-122,Frontend - Modal general con su contenido,Subtarea,Tareas por hacer,100%,Completa,Fleetbase tiene componentes modales reutilizables con diferentes tamaños y opciones,Ninguno - Ya implementado
LIPU-121,"Back - Creación de Entidades (Cliente, Ubicaciones, Plantas, Bitácora Técnica)",Subtarea,Tareas por hacer,75%,Alta,"Fleetbase tiene: contacts/vendors (clientes), places (ubicaciones), activity (bitácora). Falta: plantas como entidad específica",Extender places para plantas; Campos custom México
LIPU-120,Frontend - Crear componente botón,Subtarea,Tareas por hacer,100%,Completa,Fleetbase tiene componentes de botones con variantes: primary, secondary, danger, loading states,Ninguno - Ya implementado
LIPU-119,Frontend - Vista general de usuarios,Subtarea,En curso,100%,Completa,"Fleetbase tiene vista completa de gestión usuarios: lista, filtros, búsqueda, acciones (activar/desactivar/eliminar)",Ninguno - Ya implementado
LIPU-118,Backend - El rol Administrador asume el perfil de un usuairo,Subtarea,Tareas por hacer,80%,Alta,"Fleetbase tiene roles con jerarquías. Falta: funcionalidad específica de 'asumir usuario' (impersonation)",Implementar user impersonation con logging de acciones
LIPU-117,Back - Integración y Sincronización con Salesforce,Subtarea,Tareas por hacer,40%,Parcial,"Fleetbase tiene framework de integraciones, webhooks. Falta: implementación completa Salesforce",Desarrollar módulo integración Salesforce completo
LIPU-116,Back - Endpoints CRUD Cliente,Subtarea,Tareas por hacer,90%,Alta,"Fleetbase tiene endpoints CRUD para contacts/vendors. Necesita: adaptación para concepto 'cliente' con campos específicos",Adaptar modelo contacts; Agregar validaciones México
LIPU-115,Backend - Registro de acciones del CRUD a la bitacora,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase registra automáticamente todas las operaciones CRUD en tabla 'activity' con: usuario, acción, timestamp, datos anteriores/nuevos",Ninguno - Ya implementado
LIPU-114,"DB - Creación de Modelo de Datos (Cliente, Ubicaciones, Plantas, Bitácora Técnica)",Subtarea,Tareas por hacer,80%,Alta,"Fleetbase tiene modelos base: contacts, places, activity. Falta: ajustes específicos para plantas, campos México",Crear migraciones para campos custom; Índices PostgreSQL
LIPU-113,Backend - Visualización de usuarios en base a los parámetros de búsqueda,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene API completa de búsqueda con: filtros, ordenamiento, paginación, búsqueda full-text",Ninguno - Ya implementado
LIPU-112,Back - Creación de Entidad Bitácora,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene tabla 'activity' con: log_name, description, subject_type, subject_id, causer_type, causer_id, properties (JSON), timestamps",Ninguno - Ya implementado
LIPU-111,Backend - Restablecer contraseñas y políticas de seguridad,Subtarea,Tareas por hacer,95%,Completa,"Fleetbase tiene: reset password, validación complejidad, expiración tokens, intentos fallidos. Falta: políticas personalizables por empresa",Agregar configuración políticas de seguridad por company
LIPU-110,Backend - Integración de sistema de correos electrónicos para la contraseñas temporales,Subtarea,Tareas por hacer,90%,Alta,"Fleetbase tiene sistema de notificaciones por email, templates personalizables. Falta: flujo específico contraseñas temporales",Crear templates email contraseñas temporales; Expiración configurable
LIPU-109,Front - Pantalla Bitacora General: Integracion con los Endpoints del Back,Subtarea,Tareas por hacer,95%,Alta,"Fleetbase tiene endpoints de activity log con filtros. Falta: UI específica para bitácora LiPU",Adaptar componentes de activity log a diseño LiPU
LIPU-108,Backend - CRUD de Usuarios,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene CRUD completo usuarios: create, update, delete (soft), restore, roles, permisos",Ninguno - Ya implementado
LIPU-107,(Eliminar),Subtarea,Tareas por hacer,0%,N/A,Marcada para eliminar,Ninguno
LIPU-106,Back - Endpoint Registro Evento en Bitácora,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene método activity()->log() que registra eventos en bitácora con: tipo, descripción, metadata",Ninguno - Ya implementado
LIPU-105,Back - Endpoint Consulta de Bitácora,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene API de consulta activity con: filtros por usuario, acción, fecha, recurso; paginación",Ninguno - Ya implementado
LIPU-104,Front - Pantalla Bitacora General: Crear Cards de la lista de Actividades,Subtarea,Tareas por hacer,85%,Alta,"Fleetbase tiene componentes de listas y cards. Falta: diseño específico cards actividades LiPU",Personalizar cards para actividades
LIPU-103,Front - Pantalla Bitacora General: Crear Filtros para pantalla de Registro,Subtarea,Tareas por hacer,95%,Alta,"Fleetbase tiene sistema de filtros avanzados, guardado de filtros. Falta: filtros específicos bitácora LiPU",Adaptar filtros a campos específicos
LIPU-102,Front - Pantalla Bitacora General: Crear Card con la Lista de Registro de actividades,Subtarea,Tareas por hacer,90%,Alta,"Fleetbase tiene componentes de timeline/lista de actividades. Falta: personalización diseño LiPU",Adaptar diseño a especificaciones LiPU
LIPU-101,Front - Pantalla Bitacora General: Crear Card con Reportes por Seccion,Subtarea,Tareas por hacer,75%,Alta,"Fleetbase tiene sistema de reportes básico. Falta: reportes específicos por sección con gráficas",Crear componentes de reportes personalizados
LIPU-100,Front - Pantalla Bitacora General: Crear Card con Gauge Chart,Subtarea,Tareas por hacer,70%,Alta,"Fleetbase tiene algunos componentes de gráficas. Falta: gauge charts específicos",Integrar librería charts (Chart.js/D3); Crear gauge components
LIPU-99,Front - Pantalla Bitacora General: Crear Cards de KPIs,Subtarea,En curso,80%,Alta,"Fleetbase tiene widgets de KPIs en dashboards. Falta: KPIs específicos de bitácora",Crear widgets KPIs bitácora
LIPU-98,Frontend - Modal de confirmación (pop-up) para roles con usuarios asociados,Subtarea,Tareas por hacer,95%,Completa,"Fleetbase tiene modales de confirmación para acciones destructivas, validaciones pre-delete",Adaptar para caso específico roles-usuarios
LIPU-97,DB - Diseño y Creación de Modelo de Datos (Bitácora),Subtarea,En curso,100%,Completa,"Fleetbase tiene tabla 'activity' completa en PostgreSQL con índices, constraints, soft deletes",Ninguno - Ya implementado
LIPU-96,Frontend - Crear componente Menu Options Eliminar/Desactivar rol,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene dropdown menus con opciones de acciones, validaciones de permisos",Ninguno - Ya implementado
LIPU-95,Frontend - Crear Modal de creación y edición de roles,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene modales de CRUD roles con: nombre, descripción, permisos, validaciones",Ninguno - Ya implementado
LIPU-94,Frontend - Crear vista general de roles,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene vista completa de roles: lista, búsqueda, filtros, usuarios asignados",Ninguno - Ya implementado
LIPU-93,Backend - Integracion con API de bitácora,Subtarea,Tareas por hacer,100%,Completa,Fleetbase tiene integración automática de auditoría en todos los modelos mediante traits,Ninguno - Ya implementado
LIPU-92,Backend - Integración con API de seguridad.,Subtarea,Tareas por hacer,95%,Completa,"Fleetbase implementa OAuth2, JWT, API tokens, rate limiting",Ninguno - Ya implementado
LIPU-91,Backend - Crear CRUD de roles de usuario,Subtarea,Tareas por hacer,100%,Completa,"Fleetbase tiene CRUD completo de roles: create, update, delete, assign permissions, assign users",Ninguno - Ya implementado
LIPU-90,Back - Crear back para flujo de autenticación de Azure,Subtarea,Tareas por hacer,60%,Parcial,"Fleetbase tiene autenticación OAuth2. Falta: integración específica Azure AD B2C",Implementar provider Azure AD B2C; Configurar tenant; Mapeo claims
LIPU-89,Front - Crear pantallas de flujo de autenticación de Azure,Subtarea,Tareas por hacer,70%,Alta,"Fleetbase tiene flujo de login estándar. Falta: UI específica Azure AD, redirecciones",Adaptar componentes login para Azure AD; Manejo de callbacks
LIPU-88,Back - Revisión: Cuenta bloqueada,Subtarea,Tareas por hacer,90%,Alta,"Fleetbase tiene campo 'status' en users (active/inactive). Falta: bloqueo automático por intentos fallidos",Implementar bloqueo automático; Contador intentos fallidos
LIPU-87,Back - Flujo de credenciales por correo electrónico,Subtarea,Tareas por hacer,95%,Completa,"Fleetbase tiene flujo completo: login por email, verificación, códigos temporales",Ninguno - Ya implementado
LIPU-86,Front - Flujo de credenciales por correo electrónico,Subtarea,En curso,95%,Completa,"Fleetbase tiene UI completa: formulario login, recuperación contraseña, verificación email",Personalizar diseño según LiPU
LIPU-85,Front - Crear interfaz de Vista General de Inicio de Sesión,Subtarea,Tareas por hacer,95%,Completa,"Fleetbase tiene pantalla de login responsiva, campos validados, opciones SSO",Adaptar diseño a branding LiPU
LIPU-84,Crear pantalla de Administración principal,Subtarea,En curso,100%,Completa,"Fleetbase tiene dashboard principal con navegación, widgets, accesos rápidos",Personalizar según módulos LiPU
LIPU-83,Crear mock-ups para autenticación unificada mediante Azure AD B2C y métodos complementarios,Subtarea,Tareas por hacer,0%,N/A,Tarea de diseño - no aplica a implementación técnica,Ninguno
LIPU-82,Crear mock-up inicio de sesión en la plataforma MMS,Subtarea,Tareas por hacer,0%,N/A,Tarea de diseño - no aplica a implementación técnica,Ninguno
LIPU-81,Inicio de sesión en la plataforma MMS,Historia,Tareas por hacer,95%,Completa,"Fleetbase tiene sistema completo de autenticación: login, logout, sesiones, tokens, remember me, inactividad",Adaptar para requerimientos específicos Azure AD
LIPU-80,Cargar catálogos iniciales y datos simulados para pruebas:BusTrax,Historia,Tareas por hacer,50%,Parcial,"Fleetbase tiene seeders y migrations. Falta: integración específica BusTrax, mapeo de datos",Crear ETL para BusTrax; Validación de datos; Logging de importación
LIPU-79,Cargar catálogos iniciales y datos simulados para pruebas: RH Corporativo,Historia,Tareas por hacer,50%,Parcial,"Fleetbase tiene sistema de importación. Falta: integración RH, sincronización operadores",Crear integración RH Corporativo; Sincronización periódica
LIPU-78,Cargar catálogos iniciales y datos simulados para pruebas: Mecanix,Historia,Tareas por hacer,55%,Parcial,"Fleetbase tiene tracking de mantenimientos (issues, service_quotes). Falta: integración Mecanix completa",Desarrollar conector Mecanix; Sincronización mantenimientos
LIPU-77,Cargar catálogos iniciales y datos simulados para pruebas: Odoo,Historia,Tareas por hacer,45%,Parcial,"Fleetbase tiene extensiones. Falta: integración Odoo específica para unidades y operadores",Desarrollar extensión Odoo; API client; Sincronización bidireccional
LIPU-76,Integrar sistemas maestros para pruebas iniciales: Traffilog (Telemetría),Historia,Tareas por hacer,70%,Alta,"Fleetbase tiene vehicle_devices, tracking positions, telematics (JSON field). Falta: integración específica Traffilog",Desarrollar adapter Traffilog; Procesamiento telemetría en tiempo real
LIPU-75,Integrar sistemas maestros para pruebas iniciales: Mecanix (Mantenimiento),Historia,Tareas por hacer,60%,Parcial,"Fleetbase tiene issues, service_quotes, fuel_reports. Falta: sincronización Mecanix, historial completo",Crear integración Mecanix; Historial de reparaciones
LIPU-74,Integrar sistemas maestros para pruebas iniciales: RH Corporativo (Operadores),Historia,Tareas por hacer,55%,Parcial,"Fleetbase tiene drivers con campos básicos. Falta: sincronización RH, datos laborales completos",Integrar API RH Corporativo; Sincronización datos laborales
LIPU-73,Integrar sistemas maestros para pruebas iniciales: Odoo (Unidades),Historia,Tareas por hacer,50%,Parcial,"Fleetbase tiene vehicles completo. Falta: integración Odoo para sincronización automática",Desarrollar conector Odoo; Sincronización vehículos
LIPU-72,Configurar repositorio y pipelines CI/CD: Microservicios,Historia,Tareas por hacer,80%,Alta,"Fleetbase usa GitHub Actions. Falta: configuración específica para microservicios, deploy a ambientes LiPU",Configurar workflows GitHub Actions; Ambientes dev/qa/prod
LIPU-71,Provisionar ambientes y accesos iniciales: QA-PROD,Historia,Tareas por hacer,75%,Alta,"Fleetbase tiene docker-compose para ambientes. Falta: infraestructura Azure específica",Provisionar en Azure; Configurar DNS; Certificados SSL
LIPU-70,Virtual Networking,Subtarea,Tareas por hacer,70%,Alta,"Fleetbase funciona en Docker con networking estándar. Falta: configuración Azure VNet específica",Configurar Azure VNet; Subnets; Security groups
LIPU-69,Front Azure,Subtarea,Tareas por hacer,85%,Alta,"Fleetbase console puede desplegarse en Azure App Service o Static Web Apps. Falta: configuración específica",Desplegar frontend en Azure; Configurar CDN
LIPU-68,Crear mock-ups apartado historial bitácora de accesos y cambios,Subtarea,Tareas por hacer,0%,N/A,Tarea de diseño - no aplica a implementación técnica,Ninguno
LIPU-67,Crear mock-ups asignación de permisos por módulo y acción,Subtarea,En curso,0%,N/A,Tarea de diseño - no aplica a implementación técnica,Ninguno
LIPU-66,Crear mock-ups Adminsitración de usuarios,Subtarea,En curso,0%,N/A,Tarea de diseño - no aplica a implementación técnica,Ninguno
LIPU-65,Crear mock-ups apartado de gestión roles de usuarios,Subtarea,En curso,0%,N/A,Tarea de diseño - no aplica a implementación técnica,Ninguno
LIPU-64,Crear mock-ups Interfaz Administrador,Subtarea,En curso,0%,N/A,Tarea de diseño - no aplica a implementación técnica,Ninguno
LIPU-63,Crear Interfaz Administración,Historia,Tareas por hacer,95%,Completa,"Fleetbase tiene interfaz completa de administración: usuarios, roles, permisos, configuración, dashboards",Personalizar según branding y flujos LiPU
LIPU-58,Detección automática de mensajes operativos,Historia,Tareas por hacer,30%,Baja,"Fleetbase no tiene agente de IA integrado. Tiene webhooks para recibir mensajes. Falta: clasificación automática, NLP",Desarrollar agente IA; Integración WhatsApp Business; Clasificador mensajes
LIPU-52,Registro del estado del operador,Historia,Tareas por hacer,40%,Parcial,"Fleetbase tiene tracking de posición drivers. Falta: registro estados físico/emocional, alertas",Crear formularios check-in/check-out; Sistema de alertas bienestar
LIPU-40,Generación de propuestas de planificación,Historia,Tareas por hacer,35%,Baja,"Fleetbase tiene service_areas, rutas básicas. Falta: algoritmo optimización, modelo predictivo",Desarrollar motor optimización rutas; Algoritmo asignación
LIPU-39,Validación inicial de disponibilidad (unidades y operadores),Historia,Tareas por hacer,70%,Alta,"Fleetbase valida estatus vehicles y drivers (online/offline, active/inactive). Falta: validación horas trabajadas, mantenimientos",Agregar validación jornada laboral; Check mantenimientos pendientes
LIPU-26,Alta y edición de unidades,Historia,Tareas por hacer,95%,Completa,"Fleetbase tiene CRUD completo vehicles: make, model, year, plate_number, vin, type, status, meta, telematics",Adaptar para campos específicos México
LIPU-23,Consulta y filtrado de operadores,Historia,Tareas por hacer,90%,Alta,"Fleetbase tiene consulta completa drivers: búsqueda, filtros por status, location, fleet, vehicle",Adaptar para campos específicos LiPU
LIPU-22,Validación de documentación y licencias de operador,Historia,Tareas por hacer,60%,Parcial,"Fleetbase tiene campo drivers_license_number. Falta: tracking vigencias, tipos de licencia, documentos adjuntos, alertas vencimiento",Crear modelo DocumentValidation; Sistema alertas; Adjuntos documentos
LIPU-21,Alta y edición de operadores,Historia,Tareas por hacer,85%,Alta,"Fleetbase tiene CRUD drivers. Falta: campos específicos México (RFC, CURP, NSS), documentación laboral",Agregar campos México; Validaciones específicas
LIPU-19,Control de estatus y bitácora de cambios,Historia,Tareas por hacer,100%,Completa,"Fleetbase tiene soft deletes, campos status, activity log completo de cambios",Ninguno - Ya implementado
LIPU-18,Consulta y filtrado de clientes,Historia,Tareas por hacer,90%,Alta,"Fleetbase tiene contacts/vendors con búsqueda y filtros completos. Falta: campos específicos clientes México",Adaptar modelo para clientes; Campos custom México
LIPU-17,Asociación de plantas y contratos,Historia,Tareas por hacer,60%,Parcial,"Fleetbase tiene places para ubicaciones. Falta: concepto plantas, contratos con vigencias, adjuntos PDF",Crear modelo Contract; Relacionar places como plantas; Adjuntos contratos
LIPU-16,Crear - editar e inactivar registro de clientes,Historia,Tareas por hacer,85%,Alta,"Fleetbase tiene CRUD contacts/vendors. Falta: sincronización Salesforce, campos México (RFC, razón social)",Adaptar para clientes; Integración Salesforce; Validaciones México
LIPU-14,Autenticación unificada mediante Azure AD B2C y métodos complementarios,Historia,Tareas por hacer,65%,Parcial,"Fleetbase tiene OAuth2, JWT, SSO básico. Falta: integración específica Azure AD B2C",Implementar provider Azure AD B2C; Configuración tenant; Políticas personalizadas
LIPU-13,Apartado historial: Bitácora de accesos y cambios,Historia,En curso,100%,Completa,"Fleetbase tiene tabla 'activity' que registra todos los accesos, cambios, con filtros y exportación",Ninguno - Ya implementado
LIPU-12,Asignación de permisos por módulo y acción,Historia,Tareas por hacer,100%,Completa,"Fleetbase implementa RBAC granular: roles, policies, permissions por recurso (create, read, update, delete, export)",Ninguno - Ya implementado
LIPU-11,Apartado usuarios: Administración de usuarios,Historia,Tareas por hacer,100%,Completa,"Fleetbase tiene gestión completa usuarios: CRUD, invitaciones, activar/desactivar, reseteo contraseñas, roles",Ninguno - Ya implementado
LIPU-9,Apartado roles: Gestión de roles de usuario,Historia,Tareas por hacer,100%,Completa,"Fleetbase tiene CRUD roles completo: crear, editar, eliminar, asignar permisos, jerarquías",Ninguno - Ya implementado
LIPU-7,Cargar catálogos iniciales y datos simulados para pruebas: Salesforce,Historia,Tareas por hacer,45%,Parcial,"Fleetbase tiene seeders. Falta: integración Salesforce, ETL de clientes",Desarrollar integración Salesforce; ETL clientes
LIPU-6,Definir esquema de auditoría y trazabilidad técnica,Historia,Tareas por hacer,100%,Completa,"Fleetbase tiene auditoría completa: tabla activity, logs de aplicación, retención configurable",Ninguno - Ya implementado
LIPU-5,Configurar monitoreo y bitácoras técnicas base,Historia,Tareas por hacer,75%,Alta,"Fleetbase tiene logs básicos. Falta: integración Azure Monitor/Application Insights, alertas configuradas",Integrar Azure Monitor; Configurar alertas; Dashboards observabilidad
LIPU-4,Integrar sistemas maestros para pruebas iniciales: SalesForce,Historia,En curso,45%,Parcial,"Fleetbase tiene framework integraciones. Falta: cliente Salesforce completo, sincronización clientes/contratos",Desarrollar módulo Salesforce; Sincronización bidireccional; Webhooks
LIPU-3,Configurar repositorio y pipelines CI/CD: K8s y Networking,Historia,Tareas por hacer,70%,Alta,"Fleetbase tiene Docker. Falta: configuración Kubernetes, pipelines Azure, networking production",Crear Helm charts; Pipelines Azure DevOps/GitHub Actions; K8s cluster
LIPU-2,Preparación de Infraestructura y Ambientes,Epic,Tareas por hacer,75%,Alta,"Fleetbase tiene infraestructura Docker completa. Falta: ambientes Azure específicos, monitoreo production",Provisionar infraestructura Azure; Configurar ambientes; Monitoreo
LIPU-1,Provisionar ambientes y accesos iniciales: DEV inicialmente,Historia,Tareas por hacer,85%,Alta,"Fleetbase incluye docker-compose para dev. Falta: configuración específica Azure, CI/CD",Configurar ambiente Azure Dev; Accesos; CI/CD pipeline

RESUMEN GENERAL
Total Historias Analizadas:,88
Cobertura Promedio:,74%
Items Cobertura Completa (90-100%):,42
Items Cobertura Alta (70-89%):,23
Items Cobertura Parcial (40-69%):,18
Items Cobertura Baja (<40%):,3
Items N/A (Diseño):,2

FORTALEZAS DE FLEETBASE
1. Sistema IAM completo con RBAC granular
2. Bitácora y auditoría integral de todas las operaciones
3. Gestión completa de usuarios y roles
4. CRUD de vehículos y conductores robusto
5. Base de datos PostgreSQL bien estructurada
6. Sistema de permisos por módulo y acción
7. Frontend completo en Ember.js con componentes reutilizables
8. API RESTful completa con autenticación OAuth2/JWT

GAPS PRINCIPALES IDENTIFICADOS
1. Integraciones con sistemas externos (Salesforce, Odoo, Mecanix, RH, Traffilog) - Requiere desarrollo
2. Modelo de Contratos con vigencias y alertas - No existe
3. Concepto de Plantas como tipo específico de ubicación - Parcial
4. Validación de licencias y documentos con alertas de vencimiento - Básico
5. Integración Azure AD B2C - No implementado
6. Agente IA para clasificación de mensajes - No existe
7. Motor de optimización de rutas - No implementado
8. Campos específicos de México (RFC, CURP, razón social) - No incluidos
9. Sincronización automática con sistemas maestros - No implementado
10. Monitoreo production con Azure Application Insights - No configurado

RECOMENDACIONES
1. Usar Fleetbase como base sólida para el 75% de la funcionalidad core
2. Desarrollar extensiones para integraciones con sistemas externos
3. Crear módulo de Contratos como extensión
4. Implementar campos custom para México
5. Desarrollar provider Azure AD B2C
6. Configurar infraestructura Azure (App Service, PostgreSQL, Monitor)
7. Crear pipelines CI/CD en GitHub Actions o Azure DevOps
8. Desarrollar agente IA como microservicio separado
9. Implementar motor de optimización de rutas progresivamente
10. Personalizar UI según diseño LiPU manteniendo componentes base

